UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
62984,1A11191204170421,191204_170421,1,0,1,5.6,16.3,8.9,2.3,18.2,0.0701,11714,36711,627,13634,43298,0,70283,859888,0,15.7,0,15355,0,38944,233664,3671.2,0.3,58.6,43298,843,2227.837779,0.182054151
62985,1A12191204170421,191204_170421,1,0,2,15.8,193,18,13.7,50.1,0.577,15388,5462,963,22260,8323,0,1092556,340774,0,14.4,0,5875,0,50249,3567696,19098.5,8.7,5.67,8323,2575,11589.76896,5.279570374
62986,1A13191204170421,191204_170421,1,0,3,6.7,24.4,10.5,3,22.5,0.0785,14446,55693,15569,18013,55897,24914,130011,4686561,718355,23.3,17.3,32773,8869,16523,148704,1638.9,25.8,3.58,55795,24914,994.5530987,15.65665697
62987,1A14191204170421,191204_170421,1,0,4,12.3,86.9,18.5,6,45,0.104,12107,55238,8112,16264,55241,11721,387431,8896718,950808,27,22.2,43188,7258,11959,382672,1649.2,45.4,6.81,55239,11721,1000.80357,27.55086149
62988,1A15191204170421,191204_170421,1,0,5,23.9,443,27,20.9,77.2,0.598,20253,57390,3870,32265,57401,7384,3301252,17638808,229553,42.3,11.5,34586,6041,39835,6493104,16227.1,59.9,14.8,57400,7384,9847.283292,36.35014545
62989,1A16191204170421,191204_170421,1,0,6,5.3,19,7.5,3.2,17.3,0.19,10598,53728,7409,10998,54415,8685,74187,6802259,274959,25.6,11.9,35991,6706,37205,260432,15214.6,53.7,7.25,53838,8653,9232.855925,32.587693
62990,1A17191204170421,191204_170421,1,0,7,7.9,46.2,9.6,6.1,24.3,0.401,13059,55238,11776,18572,55238,16745,221996,6184861,758279,23.8,18.1,38415,8067,13180,224064,1657,58.1,4.69,55238,16745,1005.536936,35.25782054
62991,1A18191204170421,191204_170421,1,0,8,21.7,364,24.1,19.2,70.2,0.639,16048,56925,2558,21693,56927,0,2150375,15137833,0,38.8,0,34880,0,33317,4464528,16659.1,76.6,22.3,56926,3742,10109.43897,46.48449318
62992,1A19191204170421,191204_170421,1,0,9,15.6,171,20.7,10.5,54.2,0.259,21107,55743,5074,43508,55950,14819,1329732,7293085,180132,32.9,9.3,24392,8578,10795,680112,5459.7,84.2,11,55950,14819,3313.174417,51.09653166
62993,1A110191204170421,191204_170421,1,0,10,18.5,261,21.4,15.5,61.3,0.526,23738,52380,7034,38421,52934,12925,2278882,7782305,565908,30.6,15.3,29478,8574,34531,3314992,18671.7,103.3,7.45,52934,12925,11330.76886,62.6873126
62994,1A111191204170421,191204_170421,1,0,11,5.3,21.7,6.1,4.5,17.3,0.545,11601,23389,2621,13899,29710,0,92804,784772,0,15.6,0,11211,0,20710,165680,5792.1,117.8,8.92,29710,3379,3514.888647,71.48659655
62995,1A112191204170421,191204_170421,1,0,12,10.6,78.7,14.2,7.1,33.2,0.247,14439,54579,1696,19731,54928,0,418724,3903075,0,24.2,0,23513,0,36531,1059392,11184.1,122.6,32.2,54909,2454,6786.979871,74.39946297
