UID,Is Target Cell,Is CTC,Object Index,Study Identifier Left Number,Study Identifier Right Number
62984,1,0,1,191204,170421
62985,1,0,2,191204,170421
62986,1,0,3,191204,170421
62987,1,0,4,191204,170421
62988,1,0,5,191204,170421
62989,1,0,6,191204,170421
62990,1,0,7,191204,170421
62991,1,0,8,191204,170421
62992,1,0,9,191204,170421
62993,1,0,10,191204,170421
62994,1,0,11,191204,170421
62995,1,0,12,191204,170421
62996,1,0,13,191204,170421
62997,1,0,14,191204,170421
62998,1,0,15,191204,170421
62999,1,0,16,191204,170421
63000,1,0,17,191204,170421
63001,1,0,18,191204,170421
63002,1,0,19,191204,170421
63003,1,0,20,191204,170421
63004,1,0,21,191204,170421
63005,1,0,22,191204,170421
63006,1,0,23,191204,170421
63007,1,0,24,191204,170421
63008,1,0,25,191204,170421
63009,1,0,26,191204,170421
63010,1,0,27,191204,170421
63011,1,0,28,191204,170421
63012,1,0,29,191204,170421
63013,1,0,30,191204,170421
63014,1,0,31,191204,170421
63015,1,0,32,191204,170421
63016,1,0,33,191204,170421
63017,1,0,34,191204,170421
63018,1,0,35,191204,170421
63019,1,0,36,191204,170421
63020,1,0,37,191204,170421
63021,1,0,38,191204,170421
63022,1,0,39,191204,170421
63023,1,0,40,191204,170421
63024,1,0,41,191204,170421
63025,1,0,42,191204,170421
63026,1,0,43,191204,170421
63027,1,0,44,191204,170421
63028,1,0,45,191204,170421
63029,1,0,46,191204,170421
63030,1,0,47,191204,170421
63031,1,0,48,191204,170421
63032,1,0,49,191204,170421
63033,1,0,50,191204,170421
63034,1,0,51,191204,170421
63035,1,0,52,191204,170421
63036,1,0,53,191204,170421
63037,1,0,54,191204,170421
63038,1,0,55,191204,170421
63039,1,0,56,191204,170421
63040,1,0,57,191204,170421
63041,1,0,58,191204,170421
63042,1,0,59,191204,170421
63043,1,0,60,191204,170421
63044,1,0,61,191204,170421
63045,1,0,62,191204,170421
63046,1,0,63,191204,170421
63047,1,0,64,191204,170421
63048,1,0,65,191204,170421
63049,1,0,66,191204,170421
63050,1,0,67,191204,170421
63051,1,0,68,191204,170421
63052,1,0,69,191204,170421
63053,1,0,70,191204,170421
63054,1,0,71,191204,170421
63055,1,0,72,191204,170421
63056,1,0,73,191204,170421
63057,1,0,74,191204,170421
63058,1,0,75,191204,170421
63059,1,0,76,191204,170421
63060,1,0,77,191204,170421
63061,1,0,78,191204,170421
63062,1,0,79,191204,170421
63063,1,0,80,191204,170421
63064,1,0,81,191204,170421
63065,1,0,82,191204,170421
63066,1,0,83,191204,170421
63067,1,0,84,191204,170421
63068,1,0,85,191204,170421
63069,1,0,86,191204,170421
63070,1,0,87,191204,170421
63071,1,0,88,191204,170421
63072,1,0,89,191204,170421
63073,1,0,90,191204,170421
63074,1,0,91,191204,170421
63075,1,0,92,191204,170421
63076,1,0,93,191204,170421
63077,1,0,94,191204,170421
63078,1,0,95,191204,170421
63079,1,0,96,191204,170421
63080,1,0,97,191204,170421
63081,1,0,98,191204,170421
63082,1,0,99,191204,170421
63083,1,0,100,191204,170421
63084,1,0,101,191204,170421
63085,1,0,102,191204,170421
63086,1,0,103,191204,170421
63087,1,0,104,191204,170421
63088,1,0,105,191204,170421
63089,1,0,106,191204,170421
63090,1,0,107,191204,170421
63091,1,0,108,191204,170421
63092,1,0,109,191204,170421
63093,1,0,110,191204,170421
63094,1,0,111,191204,170421
63095,1,0,112,191204,170421
63096,1,0,113,191204,170421
63097,1,0,114,191204,170421
63098,1,0,115,191204,170421
63099,1,0,116,191204,170421
63100,1,0,117,191204,170421
63101,1,0,118,191204,170421
63102,1,0,119,191204,170421
63103,1,0,120,191204,170421
63104,1,0,121,191204,170421
63105,1,0,122,191204,170421
